timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2022-06-15T10:51:33,yolo,3a143a43-8fb8-4b1f-82cf-ed1aef23c38d,413.2997992038727,0.011589953328927,0.0280424847804244,60.72609132828831,62.53300000000001,94.24377965927124,0.0068773262857455,0.0208124364341939,0.0108150656153664,0.0385048283353059,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T10:58:39,yolo,deca64bd-0c1c-4dd7-b7b9-173efff49f31,422.147953748703,0.0111001853568542,0.0262945378706299,0.0,62.544,94.24377965927124,0.0057333760925305,0.0200976010961884,0.0110467150267435,0.0368776922154624,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T11:05:50,yolo,b0d19151-c0d6-4892-95e2-f087e3f9bbc3,421.63196301460266,0.0118682610814389,0.0281483903558514,67.07836082731424,62.426,94.24377965927124,0.0069990634553573,0.0213970118905432,0.0110333634628667,0.0394294388087673,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T11:12:57,yolo,f06854c4-ba5f-4b5b-8bbd-a5fc434b86e4,422.7495269775391,0.0116695405952552,0.0276039116558852,63.226409581926646,62.339,94.24377965927124,0.0070233948945447,0.020683399396459,0.0110624435669871,0.0387692378579909,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T11:20:04,yolo,ef38c246-5fae-424c-a2f9-e51a79990fde,422.36461639404297,0.010548909199726,0.0249758355465186,0.0,65.843,94.24377965927124,0.0027453419587718,0.0212482693189393,0.0110525986881562,0.0350462099658673,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T11:27:04,yolo,89044658-334b-4c39-9835-fcb0631d4366,415.9126088619232,0.0117812438022409,0.028326248233922,60.82826420101684,66.136,94.24377965927124,0.0069265586906869,0.021329886116753,0.0108839000505034,0.0391403448579434,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T11:34:00,yolo,92753782-1020-40fe-b9e5-495d9825bd44,411.4994926452637,0.0110183567150987,0.0267761125153978,61.29268138175115,66.148,94.24377965927124,0.0068627051771041,0.0189750391228232,0.010768091962859,0.0366058362627864,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T11:40:57,yolo,463b5dbe-9213-4e51-9b42-607561e4ce4b,412.60469603538513,0.0094837365466709,0.0229850426759505,0.0,66.24500000000002,94.24377965927124,0.0,0.0207102208465521,0.0107972095410589,0.031507430387611,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T11:48:06,yolo,8e84a175-3b54-4628-93d7-fcd4eefb78e9,424.2828130722046,0.0115739342851021,0.0272788195244018,62.13244591616681,62.544,94.24377965927124,0.0070451547311192,0.020303668340402,0.0111027858490839,0.0384516089206052,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T11:55:02,yolo,f2fc8326-61b0-46d4-9d78-44bcd3b3cc49,412.0922517776489,0.0109454810740886,0.0265607543623373,0.0,66.127,94.24377965927124,0.0039996111916308,0.0215804228709121,0.0107836904360902,0.0363637244986332,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T12:02:03,yolo,b138f695-7bd7-46a0-83fb-750196621a7f,416.57395935058594,0.0121085381480314,0.0290669588826626,60.78050610717781,66.44,94.24377965927124,0.0069472734936476,0.0223795806102034,0.0109008473846254,0.0402277014884766,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
2022-06-15T12:09:05,yolo,a09b6803-4f9d-48ce-8035-1a129e5cfe29,417.1339712142944,0.0117332324731691,0.0281282112770944,60.70830155053847,66.039,94.24377965927124,0.0069472652078077,0.0211181505819869,0.010915422991498,0.0389808387812927,Germany,DEU,land berlin,,,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,3.10.4,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.31674575805664,machine,N
